ans_id,code,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,V090,V091,V092,V093,V094,V095,V002,V003,V004_1,V004_2,V088,V005,V006,V007,V066,V067,V067_o,V008,V012,V010,V010_o,V045,V013_1,V013_2,V013_3,V013_4,V014,V015,V015_o,V016,V017,V018,V019,V019_1,V086_1,V086_2,V086_3,V086_4,V086_5,V086_6,V071,V022,V023_1,V023_2,V023_3,V076,V076_o,V077,V024_1,V024_2,V083,V083_o,V025_1,V025_2,V025_3,V025_4,V025_5,V082,V082_o,V087_1,V087_2,V087_3,V087_4,V087_5,V027_1,V027_2,V027_3,V027_4,V027_5,V028,V085_1,V085_2,V085_3,V085_4,V100_1,V100_2,V100_3,V100_4,V100_5,V100_6,V100_7,V038,V039,V041,V048_1,V048_2,V048_3,V048_4,V049,V081,V081_o,V050,V051_1,V051_2,V052_1,V052_2,V052_3,V052_4,V052_5,V053_1,V053_2,V053_3,V053_4,V053_5,V054,V084_1,V084_2,V084_3,V084_4,V064a_1,V064a_2,V064a_3,V064a_4,V064a_5,V064a_6,V064a_7,V064b,V064c,V065,V097,V069,V089,V089_o,V020,V073,V074,V075,V078,V078_o,V079,V079_o,V096a,V096b,V096c,V096d,V096e,V096f,starttime,externalid,verzending,language,referer,completed,survey_panelId,survey_respondentId,survey_lastQuestion
17,YYgvCy8QUeBZyGHWbmV2nR9gTQ,,,,,,,,,,,5,6,2,4,5,1,2,23,2,2,6004,2,5,1,1,1,,1,6,2,0,1,3,3,2,4,5,3,,1,5,3,2,99999,5,5,5,5,1,5,2,9,4,5,5,5,ik denk dat de plek niet van invloed is op het vinden van een geschikte partner,2,2,2,1,,3,4,4,1,5,8,0,5,4,4,2,2,2,2,2,3,2,2,4,4,2,2,4,5,3,1,2,6,7,8,"Wat betreft ideeen, creativiteit en passie een typische dichter of kunstenaar, een Escher, Dali of Botticelli. Maar dan wel de charme en stijl van een James Bond.",1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,24,1,8,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:22 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
21,YEZVScKEV4bW9weDZfQJkv7TrV,,,,,,,,,,,1,6,6,4,5,1,2,32,2,2,5216,11,5,2,2,5,,1,8,2,0,1,3,3,3,5,7,3,,1,5,3,1,2,5,5,5,5,1,5,4,8,4,5,5,1,,2,2,2,2,,1,2,4,2,5,2,0,5,5,5,1,1,4,1,1,3,1,2,3,2,1,5,6,5,4,7,1,3,2,5,-,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,108,1,10,We waren op elkaar uitgekeken.,99999,99999,99999,99999,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:40 PM,,0,0,http://www.hzt.nl/romeoenjulia,1,0,0,V9999
22,tDt5eU8JFrv75v8hnGQE8pUgD5,,,,,,,,,,,1,2,1,1,3,3,1,20,1,1,5685,1,5,1,1,5,,1,5,3,0,3,5,2,4,5,3,2,,5,5,1,2,99999,5,4,5,5,1,5,2,9,5,5,5,3,,2,2,2,2,,3,5,5,4,5,6,0,5,4,5,2,2,3,1,4,2,2,1,4,4,3,3,5,6,4,7,2,1,3,3,Katy Perry Jennifer Anniston,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,11,1,6,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 03:41 PM,,0,0,https://m.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=cAQEleH5Q&enc=AZO34cq8q9TXqZurOfnOI2Av0S1386m0lNfizzsmWFryQPz7EslX43Yyr7foQ4u3BgqEp8wQJaovR8v9QQdwsZbuvtBzgJPBs_ASmigiuTVt4w,1,0,0,V9999
23,tr5hhDmWbYDnvgPsq6MJ2Tf44B,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,19,2,1,1059,10,5,1,2,5,,1,2,1,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,3,3,3,8,9,0,3,2,2,2,2,3,4,5,5,2,2,2,4,2,2,3,3,3,3,2,2,1,2,0,0,1,Qua uiterlijk Ryan Gosling misschien? Qua innerlijk kan je toch nooit weten?,2,24,4,1,,99999,99999,99999,99999,99999,,99999,,1,3,3,4,5,2,11/12/14 03:45 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
24,CwxKFCt45cgGtbcWwFB6zwxZmh,,,,,,,,,,,2,3,3,1,5,1,2,27,2,1,3441,9,5,1,1,5,,1,6,4,0,1,4,3,3,4,6,7,"op vakantie in tienerjaren, later weer contact via facebookmtoen date enz.",1,4,1,2,99999,5,4,5,4,4,4,2,7,4,2,4,3,,1,2,2,2,,2,4,4,2,4,8,0,5,4,5,4,2,4,2,3,4,2,2,4,4,2,5,5,4,6,7,3,2,1,6,"Dennis Storm, Omar Sy",1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,32,4,8,,1,1,1,1,1,,1,,99999,99999,99999,99999,99999,99999,11/12/14 03:55 PM,,0,0,http://www.hzt.nl/romeoenjulia,1,0,0,V9999
27,aKxyK7VS5Zsea8ECvNdGfxcs4z,,,,,,,,,,,5,6,6,4,5,1,2,25,2,2,5017,1,5,2,1,5,,1,6,3,0,1,3,3,1,5,7,2,,1,5,2,2,99999,5,4,5,5,3,5,2,9,4,5,5,3,,2,2,2,1,,1,5,3,1,5,6,0,5,3,5,3,2,3,1,1,1,1,2,5,3,4,4,2,3,1,4,5,6,7,8,Tim krul,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,84,4,8,,1,1,1,1,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 04:11 PM,,0,0,/direct/romeo&julia,1,0,0,V9999
28,afBfFcTbA9tpDpKtABjuQms62v,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,21,2,2,5231,1,5,1,1,5,,1,2,1,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,2,2,4,1,4,4,0,3,2,2,2,5,2,2,5,5,4,1,2,5,2,3,4,2,4,1,3,1,2,1,1,1,1,"leighton meester, maar dan keur je alleen het uiterlijk...",1,35,4,10,wilde niet dat de eerste relatie de enigste was. Nog kunnen genieten van vrijheid,99999,99999,99999,99999,99999,,99999,,1,3,1,3,5,1,11/12/14 04:18 PM,,0,0,https://www.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=9AQHsehzH&enc=AZOg6WNCYtb6FVFdozQM83HjyzjY3XWK3dKt7wQG3WuvOMylEdbsymlzkIbLeXhDTPhqJHmhQEC8S2PoNczHA9rYbFNKbqKQBF7WRVIoWZwk0eT7Y9w8mETOL3bcFcsKQAQp0Cahg,1,0,0,V9999
29,4rHDWmk25Sq33uwntA7gEZhhdZ,,,,,,,,,,,5,3,2,1,2,1,2,23,2,2,1095,10,5,1,2,5,,1,6,1,0,1,4,2,3,4,6,4,,1,5,1,2,99999,5,4,4,5,1,4,2,8,4,4,5,3,,2,2,2,2,,1,4,5,2,4,1,0,5,4,5,4,1,4,1,2,4,4,2,4,2,1,5,1,2,4,5,6,7,3,2,geen idee,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,30,1,1,,4,4,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11/12/14 04:25 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
35,7DCaZBP3q5Syq26XKsYrqQCd2s,,,,,,,,,,,5,6,6,4,5,3,1,31,2,2,5624,1,5,2,1,5,,2,6,1,0,1,5,2,3,3,7,1,,1,5,2,2,99999,5,5,5,5,1,5,2,8,4,5,5,3,,1,2,2,2,,1,4,3,1,4,2,0,5,5,5,4,1,4,1,3,1,3,1,4,4,1,5,4,5,7,6,3,1,2,2,Andrew Garfield,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,108,3,9,,3,3,2,2,1,,1,,99999,99999,99999,99999,99999,99999,11/12/14 04:28 PM,,0,0,http://www.hzt.nl/romeoenjulia,1,0,0,V9999
41,hqy7X88Vh2vywbxZ8hb3GNhBmS,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,23,2,2,5212,1,5,1,1,1,,1,1,3,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,2,2,2,4,7,5,0,3,1,2,2,4,3,3,4,5,4,2,2,3,1,4,4,3,3,2,2,3,2,1,0,0,6,Mila Kunis,1,3,2,6,,99999,99999,99999,99999,99999,,99999,,1,2,1,1,2,1,11/12/14 04:33 PM,,0,0,https://www.facebook.com/,1,0,0,V9999
